wvfFind_event36451_trackID13_opNum8.root                      Event= 36451, Track=  13, Score=0.457
wvfFind_event52041_trackID12_opNum5_2.root                    Event= 52041, Track=  12, Score=0.667
wvfFind_event59226_trackID8_opNum5.root                       Event= 59226, Track=   8, Score=0.714
wvfFind_event62_trackID1_opNum5.root                          Event=    62, Track=   1, Score=0.714
wvfFind_event71579_trackID2_opNum8.root                       Event= 71579, Track=   2, Score=0.684
wvfFind_event32874_trackID1_opNum9_2.root                     Event= 32874, Track=   1, Score=0.437
wvfFind_event31003_trackID4_opNum7.root                       Event= 31003, Track=   4, Score=0.937
wvfFind_event57131_trackID19_opNum9.root                      Event= 57131, Track=  19, Score=0.604
wvfFind_event56140_trackID5_opNum8.root                       Event= 56140, Track=   5, Score=0.802
wvfFind_event378_trackID16_opNum7.root                        Event=   378, Track=  16, Score=0.612
wvfFind_event45612_trackID3_opNum5.root                       Event= 45612, Track=   3, Score=0.519
wvfFind_event14515_trackID5_opNum5.root                       Event= 14515, Track=   5, Score=0.932
wvfFind_event90594_trackID3_opNum9_2.root                     Event= 90594, Track=   3, Score=0.879
wvfFind_event65805_trackID3_opNum7_2.root                     Event= 65805, Track=   3, Score=0.564
wvfFind_event34761_trackID15_opNum5_merged.root               Event= 34761, Track=  15, Score=0.732
wvfFind_event2593_trackID23_opNum9.root                       Event=  2593, Track=  23, Score=0.656
wvfFind_event31471_trackID3_opNum4_merged.root                Event= 31471, Track=   3, Score=0.852
wvfFind_event91842_trackID2_opNum5.root                       Event= 91842, Track=   2, Score=0.437
wvfFind_event94332_trackID2_opNum5.root                       Event= 94332, Track=   2, Score=0.526
wvfFind_event39846_trackID9_opNum9.root                       Event= 39846, Track=   9, Score=0.617
wvfFind_event23809_trackID8_opNum9.root                       Event= 23809, Track=   8, Score=0.456
wvfFind_event61021_trackID16_opNum5_merged.root               Event= 61021, Track=  16, Score=0.644
wvfFind_event31016_trackID7_opNum8.root                       Event= 31016, Track=   7, Score=0.435
wvfFind_event65296_trackID0_opNum7.root                       Event= 65296, Track=   0, Score=0.664
wvfFind_event23978_trackID3_opNum5.root                       Event= 23978, Track=   3, Score=0.534
wvfFind_event40093_trackID2_opNum5.root                       Event= 40093, Track=   2, Score=0.898
wvfFind_event63047_trackID18_opNum7.root                      Event= 63047, Track=  18, Score=0.917
wvfFind_event69971_trackID0_opNum5.root                       Event= 69971, Track=   0, Score=0.851
wvfFind_event34192_trackID3_opNum5.root                       Event= 34192, Track=   3, Score=0.603
wvfFind_event72631_trackID13_opNum5.root                      Event= 72631, Track=  13, Score=0.733
wvfFind_event11699_trackID6_opNum8.root                       Event= 11699, Track=   6, Score=0.435
wvfFind_event22523_trackID7_opNum4_merged.root                Event= 22523, Track=   7, Score=0.928
wvfFind_event8224_trackID1_opNum6.root                        Event=  8224, Track=   1, Score=0.900
wvfFind_event22798_trackID19_opNum4_merged.root               Event= 22798, Track=  19, Score=0.599
wvfFind_event65805_trackID3_opNum7.root                       Event= 65805, Track=   3, Score=0.564
wvfFind_event15225_trackID5_opNum9.root                       Event= 15225, Track=   5, Score=0.980
wvfFind_event83471_trackID1_opNum6.root                       Event= 83471, Track=   1, Score=0.938
wvfFind_event29242_trackID5_opNum5.root                       Event= 29242, Track=   5, Score=0.908
wvfFind_event67680_trackID4_opNum7.root                       Event= 67680, Track=   4, Score=0.746
wvfFind_event80044_trackID8_opNum5.root                       Event= 80044, Track=   8, Score=0.668
wvfFind_event84660_trackID2_opNum7_merged.root                Event= 84660, Track=   2, Score=0.770
wvfFind_event50775_trackID5_opNum9.root                       Event= 50775, Track=   5, Score=0.828
wvfFind_event8167_trackID11_opNum6.root                       Event=  8167, Track=  11, Score=0.570
wvfFind_event32383_trackID9_opNum5.root                       Event= 32383, Track=   9, Score=0.830
wvfFind_event23001_trackID3_opNum8.root                       Event= 23001, Track=   3, Score=0.688
wvfFind_event35804_trackID4_opNum9.root                       Event= 35804, Track=   4, Score=0.997
wvfFind_event48338_trackID0_opNum4_merged.root                Event= 48338, Track=   0, Score=0.808
wvfFind_event2027_trackID4_opNum6.root                        Event=  2027, Track=   4, Score=0.825
wvfFind_event28647_trackID1_opNum5.root                       Event= 28647, Track=   1, Score=0.750
wvfFind_event54359_trackID5_opNum7.root                       Event= 54359, Track=   5, Score=0.898
wvfFind_event24594_trackID19_opNum8_merged.root               Event= 24594, Track=  19, Score=0.810
wvfFind_event54646_trackID25_opNum4_merged.root               Event= 54646, Track=  25, Score=0.799
wvfFind_event46483_trackID4_opNum5.root                       Event= 46483, Track=   4, Score=0.718
wvfFind_event57976_trackID8_opNum9.root                       Event= 57976, Track=   8, Score=0.944
wvfFind_event32321_trackID4_opNum9.root                       Event= 32321, Track=   4, Score=0.579
wvfFind_event91967_trackID8_opNum8.root                       Event= 91967, Track=   8, Score=0.962
wvfFind_event73401_trackID9_opNum5.root                       Event= 73401, Track=   9, Score=0.851
wvfFind_event10156_trackID4_opNum5.root                       Event= 10156, Track=   4, Score=0.900
wvfFind_event6850_trackID14_opNum8.root                       Event=  6850, Track=  14, Score=0.877
wvfFind_event40379_trackID1_opNum8.root                       Event= 40379, Track=   1, Score=0.848
wvfFind_event85826_trackID6_opNum6.root                       Event= 85826, Track=   6, Score=0.896
wvfFind_event52543_trackID7_opNum5.root                       Event= 52543, Track=   7, Score=0.544
wvfFind_event45297_trackID6_opNum9.root                       Event= 45297, Track=   6, Score=0.751
wvfFind_event28581_trackID12_opNum5_merged.root               Event= 28581, Track=  12, Score=0.839
wvfFind_event12324_trackID6_opNum5.root                       Event= 12324, Track=   6, Score=0.528
wvfFind_event3932_trackID3_opNum9.root                        Event=  3932, Track=   3, Score=0.738
wvfFind_event3634_trackID16_opNum5.root                       Event=  3634, Track=  16, Score=0.992
wvfFind_event64099_trackID11_opNum5.root                      Event= 64099, Track=  11, Score=0.986
wvfFind_event28541_trackID3_opNum5.root                       Event= 28541, Track=   3, Score=0.517
wvfFind_event58225_trackID12_opNum8.root                      Event= 58225, Track=  12, Score=0.645
wvfFind_event51660_trackID9_opNum3_merged.root                Event= 51660, Track=   9, Score=0.907
wvfFind_event15740_trackID0_opNum9.root                       Event= 15740, Track=   0, Score=0.921
wvfFind_event80817_trackID2_opNum5.root                       Event= 80817, Track=   2, Score=0.470
wvfFind_event24756_trackID9_opNum4_merged.root                Event= 24756, Track=   9, Score=0.982
wvfFind_event64095_trackID7_opNum8.root                       Event= 64095, Track=   7, Score=0.859
wvfFind_event13839_trackID1_opNum9.root                       Event= 13839, Track=   1, Score=0.991
wvfFind_event41623_trackID4_opNum8.root                       Event= 41623, Track=   4, Score=0.791
wvfFind_event40996_trackID7_opNum9.root                       Event= 40996, Track=   7, Score=0.811
wvfFind_event54433_trackID8_opNum8.root                       Event= 54433, Track=   8, Score=0.424
wvfFind_event61217_trackID8_opNum9.root                       Event= 61217, Track=   8, Score=0.525
wvfFind_event17458_trackID2_opNum5.root                       Event= 17458, Track=   2, Score=0.598
wvfFind_event32427_trackID3_opNum5.root                       Event= 32427, Track=   3, Score=0.496
wvfFind_event18949_trackID16_opNum6_2.root                    Event= 18949, Track=  16, Score=0.468
wvfFind_event66342_trackID11_opNum4_merged.root               Event= 66342, Track=  11, Score=0.634
wvfFind_event65731_trackID5_opNum5_2.root                     Event= 65731, Track=   5, Score=0.519
wvfFind_event95094_trackID12_opNum6.root                      Event= 95094, Track=  12, Score=0.706
wvfFind_event85912_trackID10_opNum9.root                      Event= 85912, Track=  10, Score=0.469
wvfFind_event90412_trackID7_opNum3_merged.root                Event= 90412, Track=   7, Score=0.846
wvfFind_event45738_trackID16_opNum9.root                      Event= 45738, Track=  16, Score=0.790
wvfFind_event41574_trackID7_opNum5.root                       Event= 41574, Track=   7, Score=0.747
wvfFind_event93161_trackID15_opNum6.root                      Event= 93161, Track=  15, Score=0.881
wvfFind_event75128_trackID3_opNum9.root                       Event= 75128, Track=   3, Score=0.821
wvfFind_event11258_trackID6_opNum5.root                       Event= 11258, Track=   6, Score=0.694
wvfFind_event17195_trackID3_opNum9.root                       Event= 17195, Track=   3, Score=0.929
