PdsEventNew(muon_time=125, michel_time=192, muon_intensity=4.89134, michel_intensity=2.11457, third_intensity=0.635399, posX=59.9291, posY=424.091, posZ=354.071, energy=44.1606, lifetime=1.16919, pdg=-11, eventID=13825, trackID=15, date=20250828, reco_lifetime=1072, true_lifetime=1169.19, diff_lifetime=-97.19000000000005, michel_rise=0.0845828, michel_drop=0.132534375)
Event 23: PdsEventNew(muon_time=128, michel_time=478, muon_intensity=113.614, michel_intensity=22.4168, third_intensity=7.22797, posX=-330.362, posY=232.471, posZ=356.753, energy=36.6428, lifetime=5.63031, pdg=-11, eventID=11089, trackID=2, date=20250828, reco_lifetime=5600, true_lifetime=5630.3099999999995, diff_lifetime=-30.30999999999949, michel_rise=1.18949, michel_drop=1.2453777777777777)
Event 24: PdsEventNew(muon_time=129, michel_time=224, muon_intensity=135.78, michel_intensity=23.4162, third_intensity=0.363783, posX=309.689, posY=87.0854, posZ=273.578, energy=36.1952, lifetime=1.5571, pdg=-11, eventID=11317, trackID=22, date=20250828, reco_lifetime=1520, true_lifetime=1557.1, diff_lifetime=-37.09999999999991, michel_rise=1.56108, michel_drop=0.7744794871794871)
Event 25: PdsEventNew(muon_time=128, michel_time=233, muon_intensity=41.7431, michel_intensity=6.97732, third_intensity=1.56291, posX=183.582, posY=110.601, posZ=184.194, energy=41.9059, lifetime=1.72965, pdg=-11, eventID=11328, trackID=0, date=20250828, reco_lifetime=1680, true_lifetime=1729.6499999999999, diff_lifetime=-49.649999999999864, michel_rise=0.4104305882352941, michel_drop=0.4320595)
Event 26: PdsEventNew(muon_time=126, michel_time=166, muon_intensity=8.00751, michel_intensity=1.62132, third_intensity=0.590103, posX=23.5657, posY=276.008, posZ=205.54, energy=49.4919, lifetime=0.697948, pdg=-11, eventID=1140, trackID=8, date=20250828, reco_lifetime=640, true_lifetime=697.948, diff_lifetime=-57.94799999999998, michel_rise=0.12666866666666668, michel_drop=0.12471692307692309)
Event 27: PdsEventNew(muon_time=126, michel_time=324, muon_intensity=7.41602, michel_intensity=1.93274, third_intensity=0.872243, posX=33.3385, posY=270.439, posZ=311.312, energy=48.5356, lifetime=3.18381, pdg=-11, eventID=11447, trackID=13, date=20250828, reco_lifetime=3168, true_lifetime=3183.81, diff_lifetime=-15.809999999999945, michel_rise=0.11263799999999999, michel_drop=0.10737444444444444)
Event 28: PdsEventNew(muon_time=128, michel_time=234, muon_intensity=36.952, michel_intensity=5.61323, third_intensity=1.18226, posX=-281.097, posY=173.703, posZ=294.164, energy=36.4021, lifetime=1.74132, pdg=-11, eventID=11454, trackID=3, date=20250828, reco_lifetime=1696, true_lifetime=1741.32, diff_lifetime=-45.319999999999936, michel_rise=0.2656944, michel_drop=0.400945)
Event 29: PdsEventNew(muon_time=128, michel_time=238, muon_intensity=68.1084, michel_intensity=14.572, third_intensity=1.81213, posX=242.275, posY=294.403, posZ=285.195, energy=49.094, lifetime=1.78759, pdg=-11, eventID=11554, trackID=6, date=20250828, reco_lifetime=1760, true_lifetime=1787.59, diff_lifetime=-27.589999999999918, michel_rise=0.7669473684210526, michel_drop=0.6636478260869565)
Event 30: PdsEventNew(muon_time=126, michel_time=228, muon_intensity=6.15613, michel_intensity=1.92919, third_intensity=0.82644, posX=70.7861, posY=373.038, posZ=365.733, energy=39.3122, lifetime=1.6863, pdg=-11, eventID=11584, trackID=0, date=20250828, reco_lifetime=1632, true_lifetime=1686.3, diff_lifetime=-54.299999999999955, michel_rise=0.1377992857142857, michel_drop=0.13718)
Event 31: PdsEventNew(muon_time=126, michel_time=164, muon_intensity=9.17517, michel_intensity=1.7797, third_intensity=0.552087, posX=83.9839, posY=102.352, posZ=221.897, energy=35.0511, lifetime=0.672985, pdg=-11, eventID=11642, trackID=8, date=20250828, reco_lifetime=608, true_lifetime=672.985, diff_lifetime=-64.98500000000001, michel_rise=0.09366842105263158, michel_drop=0.09563166666666667)
Event 32: PdsEventNew(muon_time=127, michel_time=172, muon_intensity=18.2315, michel_intensity=2.83835, third_intensity=1.43506, posX=107.256, posY=282.923, posZ=70.0922, energy=26.2059, lifetime=0.778217, pdg=-11, eventID=11655, trackID=4, date=20250828, reco_lifetime=720, true_lifetime=778.2170000000001, diff_lifetime=-58.2170000000001, michel_rise=0.17364391304347826, michel_drop=0.18922333333333335)
