#events with |diff| <= 500:  2223 / 3411 (65.17%)

#events with |diff| > 500 :  1188 / 3411 (34.83%)
Event 53: PdsEventNew(muon_time=125, michel_time=596, muon_intensity=4.68465, michel_intensity=2.28458, posX=44.5411, posY=308.682, posZ=153.773, energy=37.5804, lifetime=1.43459, pdg=-11, eventID=12889, trackID=17, date=20250828, reco_lifetime=7536, true_lifetime=1434.5900000000001, diff_lifetime=6101.41)



Event 54: PdsEventNew(muon_time=127, michel_time=558, muon_intensity=11.7103, michel_intensity=9.03956, posX=46.9553, posY=404.974, posZ=136.574, energy=32.1684, lifetime=0.332529, pdg=11, eventID=13011, trackID=26, date=20250828, reco_lifetime=6896, true_lifetime=332.529, diff_lifetime=6563.471)

Event 55: PdsEventNew(muon_time=128, michel_time=294, muon_intensity=240.397, michel_intensity=1.69442, posX=-345.012, posY=378.302, posZ=363.52, energy=-1.0, lifetime=-1.0, pdg=0, eventID=13037, trackID=30, date=20250828, reco_lifetime=2656, true_lifetime=-1000.0, diff_lifetime=3656.0)


Event 56: PdsEventNew(muon_time=129, michel_time=216, muon_intensity=27.4298, michel_intensity=1.07903, posX=158.101, posY=39.1112, posZ=300.181, energy=51.1884, lifetime=0.146155, pdg=-11, eventID=13090, trackID=3, date=20250828, reco_lifetime=1392, true_lifetime=146.155, diff_lifetime=1245.845)


Event 57: PdsEventNew(muon_time=125, michel_time=720, muon_intensity=6.43929, michel_intensity=5.18406, posX=35.4544, posY=104.305, posZ=82.2952, energy=49.6718, lifetime=0.73591, pdg=-11, eventID=130, trackID=16, date=20250828, reco_lifetime=9520, true_lifetime=735.91, diff_lifetime=8784.09)

Event 58: PdsEventNew(muon_time=127, michel_time=384, muon_intensity=33.8538, michel_intensity=4.67957, posX=123.918, posY=161.592, posZ=143.487, energy=-1.0, lifetime=-1.0, pdg=0, eventID=13122, trackID=2, date=20250828, reco_lifetime=4112, true_lifetime=-1000.0, diff_lifetime=5112.0)


Event 59: PdsEventNew(muon_time=124, michel_time=216, muon_intensity=2.99, michel_intensity=1.1026, posX=-74.2791, posY=330.576, posZ=278.573, energy=33.4819, lifetime=0.838975, pdg=-11, eventID=13171, trackID=13, date=20250828, reco_lifetime=1472, true_lifetime=838.975, diff_lifetime=633.025)



Event 60: PdsEventNew(muon_time=126, michel_time=172, muon_intensity=8.8216, michel_intensity=1.20313, posX=32.6247, posY=322.059, posZ=175.002, energy=14.8436, lifetime=2.27846, pdg=-11, eventID=13283, trackID=9, date=20250828, reco_lifetime=736, true_lifetime=2278.46, diff_lifetime=-1542.46)




Event 61: PdsEventNew(muon_time=129, michel_time=189, muon_intensity=49.001, michel_intensity=23.0965, posX=78.9249, posY=80.2576, posZ=232.099, energy=-1.0, lifetime=-1.0, pdg=0, eventID=13321, trackID=10, date=20250828, reco_lifetime=960, true_lifetime=-1000.0, diff_lifetime=1960.0)


