
Processing group1.C...



Processing ROOT file:
michelt0_decon_run028891_0670_dataflow5_datawriter_0_20240824T081632.root

Event: 229 | Track IDs: 2 

Event: 237 | Track IDs: 0 1 

Event: 253 | Track IDs: 27 



Processing ROOT file:
michelt0_decon_run028891_0000_dataflow0_datawriter_0_20240823T151513.root

Event: 8 | Track IDs: 0 

Event: 16 | Track IDs: 1 2 

Event: 24 | Track IDs: 0 1 

Event: 32 | Track IDs: 

Event: 40 | Track IDs: 0 

Event: 48 | Track IDs: 

Event: 56 | Track IDs: 5 6 20 

Event: 64 | Track IDs: 

Event: 72 | Track IDs: 

Event: 80 | Track IDs: 5 18 

Event: 88 | Track IDs: 

Event: 96 | Track IDs: 4 

Event: 104 | Track IDs: 

Event: 112 | Track IDs: 

Event: 120 | Track IDs: 17 

Event: 128 | Track IDs: 2 3 

Event: 136 | Track IDs: 

Event: 144 | Track IDs: 3 10 

Event: 152 | Track IDs: 3 

Event: 160 | Track IDs: 4 12 16 

Event: 168 | Track IDs: 3 4 6 9 

Event: 176 | Track IDs: 29 

Event: 184 | Track IDs: 22 

Event: 192 | Track IDs: 0 15 

Event: 200 | Track IDs: 

Event: 208 | Track IDs: 

Event: 216 | Track IDs: 

Event: 224 | Track IDs: 33 

Event: 232 | Track IDs: 0 1 3 4 22 

Event: 256 | Track IDs: 0 23 

Event: 264 | Track IDs: 0 



Processing ROOT file:
michelt0_decon_run028891_0001_dataflow5_datawriter_0_20240823T151647.root

Event: 245 | Track IDs: 2 3 

Event: 261 | Track IDs: 7 8 12 

Event: 269 | Track IDs: 1 5 9 

Event: 277 | Track IDs: 2 11 

Event: 285 | Track IDs: 

Event: 293 | Track IDs: 0 11 15 25 

Event: 301 | Track IDs: 0 6 

Event: 309 | Track IDs: 0 5 20 

Event: 317 | Track IDs: 

Event: 325 | Track IDs: 0 2 4 

Event: 333 | Track IDs: 5 31 

Event: 341 | Track IDs: 1 2 25 

Event: 349 | Track IDs: 

Event: 357 | Track IDs: 2 

Event: 365 | Track IDs: 2 3 

Event: 373 | Track IDs: 

Event: 381 | Track IDs: 

Event: 389 | Track IDs: 16 

Event: 397 | Track IDs: 1 8 

Event: 405 | Track IDs: 0 12 

Event: 413 | Track IDs: 2 10 

Event: 421 | Track IDs: 2 29 

Event: 437 | Track IDs: 3 5 9 

Event: 445 | Track IDs: 14 27 34 

Event: 453 | Track IDs: 4 10 

Event: 461 | Track IDs: 6 7 29 

Event: 469 | Track IDs: 4 22 

Event: 477 | Track IDs: 1 

Event: 485 | Track IDs: 3 16 

Event: 493 | Track IDs: 0 6 9 19 



Processing ROOT file:
michelt0_decon_run028891_0001_dataflow6_datawriter_0_20240823T151647.root

Event: 238 | Track IDs: 

Event: 246 | Track IDs: 7 14 

Event: 270 | Track IDs: 9 

