wvfFind_event149508_trackID2_opNum4.root                      Event=149508, Track=   2, Score=0.719
wvfFind_event78155_trackID4_opNum9_merged.root                Event= 78155, Track=   4, Score=0.718
wvfFind_event72712_trackID7_opNum9.root                       Event= 72712, Track=   7, Score=0.492
wvfFind_event74055_trackID7_opNum9.root                       Event= 74055, Track=   7, Score=0.860
wvfFind_event99413_trackID3_opNum9.root                       Event= 99413, Track=   3, Score=0.905
wvfFind_event113411_trackID19_opNum6.root                     Event=113411, Track=  19, Score=0.495
wvfFind_event176067_trackID19_opNum9.root                     Event=176067, Track=  19, Score=0.538
wvfFind_event96790_trackID6_opNum8_merged.root                Event= 96790, Track=   6, Score=0.597
wvfFind_event126847_trackID6_opNum4.root                      Event=126847, Track=   6, Score=0.735
wvfFind_event291_trackID0_opNum5.root                         Event=   291, Track=   0, Score=0.800
wvfFind_event16088_trackID1_opNum8.root                       Event= 16088, Track=   1, Score=0.917
wvfFind_event75724_trackID22_opNum7.root                      Event= 75724, Track=  22, Score=0.776
wvfFind_event41489_trackID2_opNum8_merged.root                Event= 41489, Track=   2, Score=0.731
wvfFind_event38449_trackID22_opNum6.root                      Event= 38449, Track=  22, Score=0.643
wvfFind_event122075_trackID0_opNum5.root                      Event=122075, Track=   0, Score=0.747
wvfFind_event207730_trackID6_opNum6.root                      Event=207730, Track=   6, Score=0.866
wvfFind_event128706_trackID15_opNum8.root                     Event=128706, Track=  15, Score=0.435
wvfFind_event22199_trackID3_opNum7.root                       Event= 22199, Track=   3, Score=0.896
wvfFind_event168084_trackID9_opNum8.root                      Event=168084, Track=   9, Score=0.825
wvfFind_event178306_trackID9_opNum7.root                      Event=178306, Track=   9, Score=0.622
wvfFind_event69692_trackID0_opNum7.root                       Event= 69692, Track=   0, Score=0.669
wvfFind_event177657_trackID22_opNum7_merged.root              Event=177657, Track=  22, Score=0.541
wvfFind_event21577_trackID7_opNum6_merged.root                Event= 21577, Track=   7, Score=0.751
wvfFind_event141809_trackID7_opNum9.root                      Event=141809, Track=   7, Score=0.404
wvfFind_event107547_trackID13_opNum6.root                     Event=107547, Track=  13, Score=0.471
