Run Event TrackID VertexX VertexY VertexZ
28891 253687 7 64.2398 591.64 245.296
28891 88341 6 -10.5989 592.889 229.402
28891 373680 0 112.308 520.651 3.40631
28891 329608 6 27.8786 591.909 388.768
28891 329800 23 -82.0406 539.699 161.449
28891 329824 6 -45.6885 513.567 237.826
28891 116903 1 -122.121 595.018 294.409
28891 371358 15 -25.3869 452.169 444.971
28891 371382 9 37.9581 589.305 312.206
28891 371502 19 -14.9855 567.036 123.398
28891 232922 6 -36.5882 587.825 387.762
28891 232946 12 30.1477 417.77 450.986
28891 232994 4 150.294 599.607 391.259
28891 156752 18 39.516 384.573 248.985
28891 156776 6 16.0935 410.755 449.627
28891 156800 2 -21.4648 554.096 27.9209
28891 156800 16 29.432 283.762 14.6011
28891 156856 2 217.273 605.665 145.075
28891 160963 0 -269.033 603.752 327.607
28891 160971 9 18.0657 490.514 447.746
28891 161099 14 26.725 376.22 446.915
28891 161155 15 122.567 442.017 369.382
28891 325854 9 74.3616 596.68 108.509
28891 168427 11 24.916 590.207 321.758
28891 168443 15 -24.2847 527.31 232.595
28891 168619 13 -68.2474 594.297 199.991
28891 157062 4 -25.4298 253.981 442.494
28891 157078 14 23.2877 592.916 380.254
28891 157158 24 65.6399 532.636 332.12
28891 132209 6 5.74992 595.155 228.967
28891 132217 38 -365.308 291.396 358.272
28891 132257 2 249.244 533.284 461.328
28891 132257 35 18.2115 589.698 427.973
28891 132353 8 23.3723 590.642 286.215
28891 132361 20 49.7855 304.184 19.2416
28891 132377 9 -86.1219 259.909 242.521
28891 137147 4 -94.887 496.626 121.677
28891 137163 13 90.0404 595.653 364.179
28891 137187 20 20.7166 440.921 173.064
28891 137387 3 168.045 509.643 441.77
28891 143664 5 82.8584 587.603 373.37
28891 143736 2 147.807 492.533 232.356
28891 143832 9 -36.1042 561.263 209.81
28891 304205 12 54.6178 588.045 239.259
28891 353168 12 70.3563 439.837 411.613
28891 353272 23 36.3335 591.132 346.78
28891 353272 27 25.4888 583.718 284.328
28891 353288 4 66.6462 597.338 224.807
28891 353368 21 19.4798 443.376 378.123
28891 353392 27 48.7353 372.824 448.629
28891 353416 4 48.2271 588.555 320.243
28891 35350 3 62.6185 590.695 321.2
28891 35414 5 113.394 598.982 207.464
28891 133959 24 366.759 213.491 53.1079
28891 134031 6 92.9876 611.973 5.85456
28891 176745 12 25.1324 590.276 339.83
28891 176745 14 79.2711 594.002 321.479
28891 176825 5 101.451 595.077 350.409
28891 16867 3 -188.252 603.918 449.816
28891 16899 10 52.8107 574.16 420.904
28891 16971 9 363.787 418.944 275.42
28891 17075 12 41.8145 520.964 60.6726
28891 17091 1 277.169 501.652 404.468
28891 17099 0 219.553 587.669 164.92
28891 245038 14 19.6423 595.006 446.998
28891 245046 23 -17.9233 596.326 32.6576
28891 245246 0 58.4492 424.794 8.79715
28891 71459 21 19.8589 518.114 210.075
28891 41053 23 -47.0032 167.492 206.981
28891 41101 12 12.5121 588.628 308.461
28891 41141 35 20.9348 499.671 227.791
28891 166692 15 -14.2221 454.149 445.067
28891 166716 1 -101.083 387.94 448.35
28891 166740 8 53.8038 604.971 456.288
28891 166788 3 27.3492 593.388 126.466
28891 166788 19 -8.58991 363.945 14.4775
28891 166796 19 110.135 562.224 232.125
28891 166884 11 23.0372 593.132 197.368
28891 317460 0 -338.681 475.237 331.994
28891 317460 7 66.7607 591.1 289.6
28891 317524 3 49.303 591.136 324.423
28891 317556 27 -9.39965 331.901 222.468
28891 317668 14 35.5612 381.907 283.644
28891 317700 30 -11.3995 594.416 90.9079
28891 174279 12 63.0492 590.311 262.393
28891 174319 2 -188.875 604.812 447.42
28891 282079 37 -8.11964 401.096 14.1172
28891 282095 8 94.5677 601.393 227.764
28891 282151 1 -37.2465 609.382 442.713
28891 282151 2 -220.037 515.15 329.22
28891 45665 28 35.9336 273.791 184.449
28891 45705 6 60.8571 431.929 449.476
28891 363803 6 -207.787 603.575 114.314
28891 349795 28 -10.5335 585.871 257.841
28891 349819 5 87.813 589.629 232.549
28891 142640 7 67.354 216.691 443.842
28891 142784 16 89.7671 595.206 438.115
28891 142840 4 160.909 386.102 456.098
28891 227685 8 111.824 594.559 266.014
28891 227813 6 121.64 518.594 71.6191
28891 227861 0 220.11 603.405 236.169
28891 150579 1 327.213 509.978 362.434
28891 150579 3 201.967 602.915 297.125
28891 150603 4 -212.949 561.904 323.44
28891 150771 5 163.649 390.439 375.069
28891 189538 16 132.782 558.256 2.06373
28891 189578 13 -8.87679 589.319 118.45
28891 189602 0 107.527 592.72 266.002
28891 189650 23 9.36752 586.629 250.623
28891 210389 8 57.7695 591.877 377.657
28891 210421 0 259.848 510.756 292.083
28891 210429 5 242.008 579.381 322.309
28891 162287 11 -45.8526 568.78 262.226
28891 225267 2 -314.824 544.482 278.956
28891 349446 4 -122.647 485.141 362.149
28891 349462 4 310.352 609.19 401.875
28891 349646 20 31.3561 588.182 249.218
28891 142010 21 21.8821 588.658 334.882
28891 142026 19 49.4161 395.371 249.357
28891 91739 12 -57.4121 326.752 10.5388
28891 91763 2 254.293 607.938 292.467
28891 328648 32 30.0351 589.577 332.152
