Run Event TrackID EndX EndY EndZ
28891 148387 2 -243.832 182.103 132.035
28891 148547 13 -26.6978 273.743 286.002
28891 291435 36 327.372 61.8845 83.2173
28891 291579 12 -14.9807 261.649 253.052
28891 74356 2 -127.66 239.559 408.1
28891 109435 16 -54.7218 210.711 219.576
28891 109539 1 -147.331 211.62 380.153
28891 201504 4 -42.579 226.147 327.201
28891 201528 15 73.0637 358.394 162.045
28891 166669 10 9.59038 239.096 242.507
28891 166701 19 44.1584 37.5515 309.129
28891 248909 14 -38.1656 387.425 290.203
28891 248981 9 -106.737 272.343 362.453
28891 226814 3 -239.912 164.421 395.883
28891 226814 19 -9.26011 156.243 397.87
28891 226886 33 -27.0218 512.14 78.3724
28891 226902 4 50.7381 30.1433 174.396
28891 352961 18 -22.3233 95.0323 326.654
28891 352985 4 -38.0746 278.377 316.922
28891 293635 14 -48.3433 410.006 296.755
28891 293691 11 -111.207 402.052 345.522
28891 136120 9 -11.8753 96.1771 296.131
28891 136128 17 -125.292 402.836 343.484
28891 136152 13 63.2797 226.047 203.441
28891 109153 16 -105.803 338.727 339.237
28891 109169 4 -16.3457 292.9 277.954
28891 109313 2 38.6993 132.975 275.388
28891 109321 15 -13.3016 440.926 232.097
28891 134428 6 -9.27183 238.69 238.763
28891 134428 16 8.92221 386.634 149.613
28891 134436 3 93.0815 132.332 353.0
28891 134460 11 -51.879 320.552 337.236
28891 134620 3 -18.1262 165.879 416.107
28891 328862 10 -51.8111 382.451 351.476
28891 328998 7 -39.2968 153.75 369.554
28891 329014 15 68.0638 378.638 222.439
28891 259027 4 77.9102 40.8414 433.025
28891 103688 7 -232.821 71.8304 322.436
28891 103688 11 7.59856 134.351 87.3145
28891 103688 16 79.3124 420.348 416.905
28891 103696 0 -245.35 43.3947 363.818
28891 103720 10 -53.6013 431.243 284.032
28891 103760 20 6.35918 364.48 413.991
28891 103784 4 38.2541 56.1967 339.998
28891 103816 6 -133.982 476.84 255.351
28891 121273 6 -17.7024 91.5191 332.718
28891 121385 15 -185.435 159.357 330.618
28891 121433 9 -110.958 425.441 251.145
28891 121465 17 -72.977 393.402 336.565
28891 121473 19 -2.08339 424.032 262.81
28891 121489 5 44.7726 198.957 434.662
28891 121513 13 12.1836 291.902 400.534
28891 281082 8 71.7328 319.993 280.656
28891 281138 6 137.758 172.592 350.36
28891 250197 19 -16.8879 61.396 318.239
28891 250205 5 -104.846 303.837 321.219
28891 301854 1 -174.188 152.994 421.736
28891 302030 11 -70.3906 280.382 115.717
28891 294952 13 -25.5159 354.897 310.889
28891 295024 10 -27.2844 359.639 386.061
28891 295056 2 -221.405 108.027 376.267
28891 295112 13 -17.1618 115.024 111.409
28891 83145 0 -206.917 218.052 194.689
28891 237905 12 -6.66693 432.091 312.222
28891 237913 16 -67.4836 495.777 345.617
28891 237929 14 -65.5251 383.427 376.302
28891 237945 7 -86.7758 129.938 391.46
28891 237977 5 -33.0104 87.1391 144.008
28891 237993 5 -47.1876 106.595 281.0
28891 172388 23 -35.7771 213.465 387.258
28891 172556 27 -343.144 177.744 361.505
28891 144000 16 -49.7446 402.135 129.653
28891 144088 6 -110.007 182.97 34.5098
28891 30043 12 -11.5249 85.6031 393.205
28891 30211 15 -4.86284 313.2 306.282
28891 309267 19 23.2554 367.257 275.914
28891 353403 5 -38.1975 221.856 183.286
28891 353515 0 -213.901 136.444 401.134
28891 353619 7 132.578 206.661 197.824
28891 353643 0 -18.113 82.3295 339.837
28891 20862 7 -245.394 328.88 330.992
28891 330692 23 -7.84414 187.63 337.944
28891 330740 10 130.677 241.693 351.314
28891 330780 12 -19.8694 49.0191 317.334
28891 330788 34 347.796 140.56 88.0353
28891 14313 7 -49.0029 206.79 316.692
28891 14361 3 -9.84815 254.825 254.086
28891 55299 11 -89.1931 321.886 277.166
28891 55347 18 -57.6284 67.425 401.664
28891 55491 14 -296.142 176.385 393.617
28891 308066 8 -12.7602 37.0528 287.912
28891 308186 8 -57.6938 107.925 194.127
28891 308218 0 -176.588 243.536 417.366
28891 308226 17 -25.5302 515.832 390.012
28891 210824 1 -56.8276 299.898 294.302
28891 210888 19 35.2792 242.348 317.171
28891 210896 14 -32.3788 304.406 206.46
28891 210976 19 -72.4757 204.503 394.205
28891 161201 0 -341.218 68.1461 241.687
28891 161289 14 -34.0918 288.394 238.986
28891 161313 30 -17.7093 298.283 254.952
28891 161433 39 -17.583 361.498 62.1925
28891 161441 3 49.9436 196.245 290.142
28891 161441 18 -40.1865 313.467 406.661
28891 29543 19 31.6728 112.379 117.412
28891 29575 13 -316.615 121.302 234.529
28891 29759 8 -6.02565 240.858 314.068
28891 167652 12 74.7844 189.59 379.967
28891 167668 3 -172.105 328.564 386.901
28891 167724 27 -344.826 152.955 376.595
28891 116168 3 -253.916 263.889 427.792
28891 116272 23 -22.8351 405.03 161.799
28891 193214 0 -324.862 87.1267 97.1616
28891 193222 13 40.4653 177.844 207.71
28891 193230 33 -33.3671 111.058 405.833
28891 193406 41 -15.8897 529.288 313.572
28891 36528 21 40.3049 379.532 222.637
28891 36632 5 -132.884 96.4646 107.471
28891 36656 2 -246.002 75.4414 324.77
28891 340557 19 -50.4497 468.678 351.541
28891 340693 14 -4.81919 451.645 375.884
28891 340701 6 -67.5057 244.688 326.565
28891 340733 8 -80.6058 61.3465 422.352
28891 225674 7 8.11736 475.178 418.104
28891 225706 21 23.8054 343.375 138.018
28891 225874 5 -345.325 169.853 208.249
28891 97024 3 48.8095 47.2985 152.964
28891 97072 2 -37.2565 174.403 316.071
28891 97128 1 -206.906 291.609 266.717
28891 97200 6 7.35822 56.6956 319.769
28891 333428 11 -78.1593 260.493 410.32
28891 333508 16 -35.1841 385.626 271.294
28891 259684 18 -61.241 394.496 334.291
28891 259860 19 19.703 407.914 205.094
28891 57124 3 -37.4166 210.027 35.5401
28891 57188 3 139.137 59.7769 354.765
28891 57212 17 48.2999 342.643 351.784
28891 73443 11 18.7804 284.763 359.624
28891 73523 18 36.8053 278.782 129.661
28891 73531 12 -37.614 368.497 43.2296
28891 73531 16 -37.8406 369.251 261.894
28891 282806 3 -21.8121 146.932 323.003
28891 282958 7 285.926 174.45 288.87
28891 103919 0 -270.83 249.227 262.821
28891 104015 7 11.8186 121.468 198.783
28891 195702 9 -22.4997 248.571 312.775
28891 195870 13 -75.1179 386.118 336.178
28891 195878 18 10.461 420.826 241.35
28891 83396 2 -42.4219 40.7623 332.766
28891 83412 3 -242.724 94.2946 317.824
28891 83420 5 -152.621 307.216 424.873
28891 83548 4 -146.3 266.848 393.793
28891 158297 3 -198.1 304.976 328.028
28891 326261 0 289.677 134.325 420.078
28891 57472 4 49.3422 108.453 64.224
28891 57472 18 -12.814 384.394 85.066
28891 57496 13 -77.028 286.191 280.082
28891 103931 3 -186.703 367.338 263.936
28891 103995 7 -110.323 253.516 330.949
28891 104027 19 305.168 335.669 241.741
28891 104075 2 -149.097 50.6268 408.95
28891 104075 9 -57.7166 207.356 322.67
28891 104099 7 -101.049 204.135 170.775
28891 180793 7 -103.072 176.944 238.08
28891 180857 2 -170.56 64.0135 315.288
28891 180905 8 -63.3555 222.339 331.406
28891 180961 5 136.227 37.8013 313.377
28891 181017 5 -85.6503 161.16 90.2791
28891 181033 16 -32.6121 459.035 421.481
28891 40994 1 -124.959 178.646 304.796
